element name,element id,number of combinations,element a1 name,element a1 id,element a2 name,element a2 id,element b1 name,element b1 id,element b2 name,element b2 id,element c1 name,element c1 id,element c2 name,element c2 id,element d1 name,element d1 id,element d2 name,element d2 id,,,,
water,1,0,,,,,,,,,,,,,,,,,,,,
fire,2,0,,,,,,,,,,,,,,,,,,,,
earth,3,0,,,,,,,,,,,,,,,,,,,,
air,4,0,,,,,,,,,,,,,,,,,,,,
acidrain,5,1,rain,254,smoke,289,,,,,,,,,,,,,,,,
airplane,6,2,metal,201,bird,36,steel,305,bird,36,,,,,,,,,,,,
alcohol,7,2,time,323,fruit,136,juice,178,time,323,,,,,,,,,,,,
algae,8,3,plant,246,ocean,223,plant,246,water,1,plant,246,sea,275,,,,,,,,
alien,9,1,life,188,space,297,,,,,,,,,,,,,,,,
allergy,10,1,dust,104,human,168,,,,,,,,,,,,,,,,
alligator,11,1,swamp,316,lizard,195,,,,,,,,,,,,,,,,
ambulance,12,2,car,57,hospital,165,car,57,doctor,95,,,,,,,,,,,,
angel,13,1,bird,36,human,168,,,,,,,,,,,,,,,,
Antarctica,14,2,desert,92,ice,170,desert,92,snow,291,,,,,,,,,,,,
aquarium,15,2,water,1,glass,143,glass,143,fish,126,,,,,,,,,,,,
archipelago,16,1,isle,176,isle,176,,,,,,,,,,,,,,,,
armadillo,17,1,wildanimal,349,armor,18,,,,,,,,,,,,,,,,
armor,18,2,metal,201,tool,327,steel,305,tool,327,,,,,,,,,,,,
ash,19,1,energy,115,volcano,338,,,,,,,,,,,,,,,,
astronaut,20,2,human,168,moon,208,rocket,260,human,168,,,,,,,,,,,,
atmosphere,21,2,air,4,pressure,250,sky,285,pressure,250,,,,,,,,,,,,
atomicbomb,22,1,energy,115,explosion,118,,,,,,,,,,,,,,,,
avalanche,23,1,energy,115,snow,291,,,,,,,,,,,,,,,,
axe,24,1,blade,39,wood,356,,,,,,,,,,,,,,,,
bacon,25,1,fire,2,pig,237,,,,,,,,,,,,,,,,
bacteria,26,1,swamp,316,life,188,,,,,,,,,,,,,,,,
baker,27,2,human,168,bread,46,human,168,flour,128,,,,,,,,,,,,
barn,28,2,house,167,cow,85,house,167,livestock,194,,,,,,,,,,,,
bat,29,2,mouse,212,bird,36,sky,285,mouse,212,,,,,,,,,,,,
batman,30,1,bat,29,human,168,,,,,,,,,,,,,,,,
bayonet,31,1,blade,39,gun,155,,,,,,,,,,,,,,,,
beach,32,3,water,1,sand,265,sand,265,ocean,223,sand,265,sea,275,,,,,,,,
beaver,33,1,wildanimal,349,wood,356,,,,,,,,,,,,,,,,
beer,34,1,alcohol,7,wheat,347,,,,,,,,,,,,,,,,
bicycle,35,1,wheel,348,wheel,348,,,,,,,,,,,,,,,,
bird,36,3,air,4,egg,109,sky,285,egg,109,sky,285,life,188,,,,,,,,
birdhouse,37,1,bird,36,house,167,,,,,,,,,,,,,,,,
blackhole,38,1,star,299,pressure,250,,,,,,,,,,,,,,,,
blade,39,1,stone,306,metal,201,,,,,,,,,,,,,,,,
blizzard,40,2,snow,291,wind,350,snow,291,storm,307,,,,,,,,,,,,
blood,41,1,human,168,blade,39,,,,,,,,,,,,,,,,
boat,42,1,water,1,wood,356,,,,,,,,,,,,,,,,
boiler,43,1,metal,201,steam,302,,,,,,,,,,,,,,,,
bone,44,1,time,323,corpse,84,,,,,,,,,,,,,,,,
book,45,1,story,308,paper,231,,,,,,,,,,,,,,,,
bread,46,2,fire,2,dough,99,fire,2,flour,128,,,,,,,,,,,,
brick,47,4,fire,2,mud,213,fire,2,clay,74,sun,310,clay,74,sun,310,mud,213,,,,
bridge,48,3,steel,305,river,258,metal,201,river,258,wood,356,river,258,,,,,,,,
broom,49,1,hay,161,wood,356,,,,,,,,,,,,,,,,
bullet,50,1,gunpowder,156,metal,201,,,,,,,,,,,,,,,,
butcher,51,1,human,168,meat,199,,,,,,,,,,,,,,,,
butter,52,1,pressure,250,milk,204,,,,,,,,,,,,,,,,
cactus,53,2,desert,92,plant,246,plant,246,sand,265,,,,,,,,,,,,
camel,54,2,desert,92,horse,164,desert,92,wildanimal,349,,,,,,,,,,,,
campfire,55,1,fire,2,wood,356,,,,,,,,,,,,,,,,
candycane,56,1,sugar,309,Christmastree,71,,,,,,,,,,,,,,,,
car,57,1,metal,201,wheel,348,,,,,,,,,,,,,,,,
carbondioxide,58,2,human,168,oxygen,229,plant,246,night,220,,,,,,,,,,,,
cart,59,1,wood,356,wheel,348,,,,,,,,,,,,,,,,
castle,60,1,knight,181,house,167,,,,,,,,,,,,,,,,
cat,61,1,wildanimal,349,milk,204,,,,,,,,,,,,,,,,
caviar,62,1,human,168,hardroe,160,,,,,,,,,,,,,,,,
centaur,63,1,horse,164,human,168,,,,,,,,,,,,,,,,
cereal,64,1,milk,204,wheat,347,,,,,,,,,,,,,,,,
chainsaw,65,1,electricity,113,axe,24,,,,,,,,,,,,,,,,
charcoal,66,2,fire,2,wood,356,fire,2,tree,329,,,,,,,,,,,,
cheese,67,1,time,323,milk,204,,,,,,,,,,,,,,,,
chicken,68,1,bird,36,livestock,194,,,,,,,,,,,,,,,,
chimney,69,1,house,167,fireplace,124,,,,,,,,,,,,,,,,
Christmasstocking,70,1,wool,357,fireplace,124,,,,,,,,,,,,,,,,
Christmastree,71,1,lightbulb,190,tree,329,,,,,,,,,,,,,,,,
cigarette,72,1,paper,231,tobacco,326,,,,,,,,,,,,,,,,
city,73,2,skyscraper,286,skyscraper,286,village,337,village,337,,,,,,,,,,,,
clay,74,1,mud,213,sand,265,,,,,,,,,,,,,,,,
clock,75,2,electricity,113,time,323,time,323,wheel,348,,,,,,,,,,,,
cloud,76,1,air,4,steam,302,,,,,,,,,,,,,,,,
coal,77,1,plant,246,pressure,250,,,,,,,,,,,,,,,,
coconut,78,1,palm,230,fruit,136,,,,,,,,,,,,,,,,
coconutmilk,79,1,coconut,78,tool,327,,,,,,,,,,,,,,,,
coffin,80,1,wood,356,corpse,84,,,,,,,,,,,,,,,,
cold,81,1,rain,254,human,168,,,,,,,,,,,,,,,,
computer,82,2,electricity,113,nerd,217,nerd,217,tool,327,,,,,,,,,,,,
cookie,83,1,sugar,309,dough,99,,,,,,,,,,,,,,,,
corpse,84,2,human,168,gun,155,grimreaper,154,human,168,,,,,,,,,,,,
cow,85,1,livestock,194,grass,149,,,,,,,,,,,,,,,,
cuckoo,86,1,clock,75,bird,36,,,,,,,,,,,,,,,,
cyborg,87,1,robot,259,human,168,,,,,,,,,,,,,,,,
cyclist,88,1,human,168,bicycle,35,,,,,,,,,,,,,,,,
dam,89,4,river,258,wall,341,beaver,33,river,258,beaver,33,tree,329,beaver,33,wood,356,,,,
darthvader,90,2,jedi,177,lava,183,fire,2,jedi,177,,,,,,,,,,,,
day,91,2,sun,310,time,323,sun,310,night,220,,,,,,,,,,,,
desert,92,1,sand,265,sand,265,,,,,,,,,,,,,,,,
diamond,93,2,coal,77,pressure,250,coal,77,time,323,,,,,,,,,,,,
dinosaur,94,1,time,323,lizard,195,,,,,,,,,,,,,,,,
doctor,95,1,hospital,165,human,168,,,,,,,,,,,,,,,,
dog,96,1,wildanimal,349,human,168,,,,,,,,,,,,,,,,
doghouse,97,1,dog,96,house,167,,,,,,,,,,,,,,,,
doublerainbow!,98,1,rainbow,255,rainbow,255,,,,,,,,,,,,,,,,
dough,99,1,water,1,flour,128,,,,,,,,,,,,,,,,
dragon,100,1,fire,2,lizard,195,,,,,,,,,,,,,,,,
drunk,101,2,alcohol,7,human,168,beer,34,human,168,,,,,,,,,,,,
duck,102,1,water,1,bird,36,,,,,,,,,,,,,,,,
dune,103,3,beach,32,wind,350,desert,92,wind,350,wind,350,sand,265,,,,,,,,
dust,104,2,earth,3,air,4,sun,310,vampire,336,,,,,,,,,,,,
dynamite,105,1,wire,353,gunpowder,156,,,,,,,,,,,,,,,,
eagle,106,1,mountain,211,bird,36,,,,,,,,,,,,,,,,
earthquake,107,2,energy,115,earth,3,wave,345,earth,3,,,,,,,,,,,,
eclipse,108,1,sun,310,moon,208,,,,,,,,,,,,,,,,
egg,109,4,stone,306,life,188,bird,36,bird,36,lizard,195,lizard,195,turtle,332,turtle,332,,,,
eggtimer,110,1,clock,75,egg,109,,,,,,,,,,,,,,,,
